age,pop_sac
unter 1 Jahr,33296
1-Jährige,34633
2-Jährige,36141
3-Jährige,37683
4-Jährige,38617
5-Jährige,38233
6-Jährige,38076
7-Jährige,37051
8-Jährige,37185
9-Jährige,36589
10-Jährige,37087
11-Jährige,35957
12-Jährige,36365
13-Jährige,35278
14-Jährige,33596
15-Jährige,33604
16-Jährige,34008
17-Jährige,32879
18-Jährige,33056
19-Jährige,34230
20-Jährige,36643
21-Jährige,35975
22-Jährige,34965
23-Jährige,35391
24-Jährige,34577
25-Jährige,32481
26-Jährige,31686
27-Jährige,32107
28-Jährige,33044
29-Jährige,37675
30-Jährige,52667
31-Jährige,54434
32-Jährige,55833
33-Jährige,56709
34-Jährige,54279
35-Jährige,54503
36-Jährige,53273
37-Jährige,53649
38-Jährige,54110
39-Jährige,52490
40-Jährige,53738
41-Jährige,51485
42-Jährige,51584
43-Jährige,50254
44-Jährige,44789
45-Jährige,42730
46-Jährige,42165
47-Jährige,42595
48-Jährige,46549
49-Jährige,54177
50-Jährige,54067
51-Jährige,54448
52-Jährige,55288
53-Jährige,57087
54-Jährige,60305
55-Jährige,62659
56-Jährige,65109
57-Jährige,65831
58-Jährige,64529
59-Jährige,64390
60-Jährige,61707
61-Jährige,61068
62-Jährige,56262
63-Jährige,55786
64-Jährige,56518
65-Jährige,58266
66-Jährige,57476
67-Jährige,57379
68-Jährige,58003
69-Jährige,58811
70-Jährige,56040
71-Jährige,48610
72-Jährige,38742
73-Jährige,38282
74-Jährige,28403
75-Jährige,33043
76-Jährige,47454
77-Jährige,46250
78-Jährige,42151
79-Jährige,50869
80-Jährige,50632
81-Jährige,47715
82-Jährige,41276
83-Jährige,35874
84-Jährige,32871
85-Jährige,29887
86-Jährige,25318
87-Jährige,17717
88-Jährige,15081
89-Jährige,13748
90 Jahre und mehr,51868
